winnings	age	drive	accuracy	regulation	putts	save	events
632878	23	288.0	53.1	58.2	1.767	50.9	27
3724984	24	295.4	57.7	65.6	1.757	59.3	16
1313484	34	285.8	64.2	63.8	1.795	50.7	24
808373	34	297.9	59.0	63.0	1.787	47.7	20
486053	31	289.4	60.5	62.5	1.766	43.5	30
1355433	29	284.6	68.8	67.0	1.780	50.9	23
962167	42	282.1	74.2	68.9	1.777	40.4	23
1036958	28	283.8	64.4	64.2	1.740	53.8	27
500818	27	282.1	64.3	63.4	1.809	42.2	20
943589	47	282.2	62.6	65.3	1.777	47.7	15
631143	40	283.5	59.7	64.4	1.773	50.5	31
503252	38	285.2	70.1	66.0	1.829	49.7	32
162701	46	280.9	63.4	63.6	1.808	42.3	27
1553826	29	294.4	65.1	67.7	1.768	43.1	30
581421	36	276.1	67.2	62.3	1.769	51.9	30
1046064	38	278.2	63.9	64.2	1.756	44.8	23
966554	45	278.2	63.7	64.8	1.788	46.9	26
1016899	43	273.7	61.6	61.4	1.749	52.9	28
524907	34	298.9	50.1	63.0	1.759	55.6	34
1259780	36	291.3	64.8	64.9	1.775	49.3	31
836382	35	294.3	57.2	65.8	1.780	52.7	31
919256	31	292.2	66.1	66.6	1.766	48.5	24
645196	33	279.7	64.8	61.5	1.737	52.2	32
159939	33	292.4	63.0	62.0	1.844	52.1	24
1156517	32	289.4	65.0	70.6	1.780	42.1	30
779189	34	291.2	66.5	67.0	1.771	47.3	30
1367963	27	290.8	61.1	64.5	1.733	52.9	28
1955395	39	290.6	59.3	67.8	1.798	47.1	27
2264985	30	288.0	63.9	67.7	1.799	46.1	28
1703485	25	288.5	64.3	66.1	1.802	48.9	30
100283	31	302.1	56.2	60.8	1.796	34.2	24
2971843	36	277.3	68.6	67.1	1.752	50.6	27
1292732	31	277.3	61.8	62.5	1.766	51.6	23
692785	35	304.0	59.5	70.4	1.811	33.2	33
258061	36	283.4	62.8	60.5	1.802	45.7	33
881938	45	268.2	71.9	62.1	1.762	57.4	23
595820	32	291.0	67.8	67.7	1.787	52.9	25
494569	36	270.8	76.1	62.9	1.791	53.1	30
1308586	38	276.9	63.5	60.7	1.797	55.3	16
423749	37	289.4	54.4	63.0	1.815	50.5	27
356943	28	290.7	63.9	65.8	1.810	49.6	27
315540	46	281.9	64.3	63.1	1.811	62.3	28
135731	37	296.0	51.5	60.7	1.778	41.4	31
763253	30	295.9	58.6	63.9	1.748	52.2	33
397606	44	283.8	65.5	68.1	1.792	45.6	28
490414	34	286.7	62.9	63.9	1.757	54.0	26
2009819	36	289.0	62.3	64.0	1.745	46.2	16
293617	35	285.8	66.6	66.2	1.796	43.2	30
402589	45	273.6	66.1	63.7	1.802	60.1	26
21250	25	283.8	54.4	54.7	1.847	47.7	25
164435	35	272.8	69.4	60.1	1.786	49.2	27
479465	44	281.3	63.7	64.0	1.779	50.0	26
2357531	37	285.3	63.4	68.5	1.758	55.7	24
3075094	40	300.1	60.1	63.4	1.753	51.9	24
561341	34	282.2	63.0	62.0	1.755	52.4	33
346632	37	295.3	60.1	63.4	1.776	44.1	22
677035	42	300.1	60.4	63.0	1.774	61.1	21
230329	35	280.5	68.3	62.6	1.842	41.5	23
854638	36	285.6	63.1	64.2	1.784	45.6	23
1487912	42	285.4	68.6	69.0	1.770	41.3	26
5787225	35	298.0	55.5	65.6	1.740	47.9	16
115185	42	275.2	67.8	60.1	1.795	51.8	36
1259235	35	287.3	66.6	64.8	1.759	40.8	27
1396109	45	294.5	58.8	66.3	1.781	47.1	16
2103732	48	271.9	77.2	65.5	1.769	54.6	29
1259048	30	287.9	55.6	64.4	1.750	43.9	24
287150	42	280.2	66.2	62.0	1.788	42.7	30
1236909	27	303.3	63.2	66.9	1.752	61.0	26
519935	39	286.1	65.6	61.8	1.749	47.5	33
239319	40	288.3	59.4	62.8	1.808	43.8	29
402380	31	287.3	61.7	60.6	1.726	57.7	22
130783	40	281.1	66.3	60.3	1.810	42.5	24
816889	29	314.4	49.9	62.9	1.765	59.3	30
1446765	33	298.8	64.3	65.2	1.748	51.7	25
1066838	30	280.1	71.3	67.1	1.788	54.3	31
795206	33	281.0	72.3	66.1	1.780	41.6	27
162120	33	279.7	70.6	60.4	1.823	43.9	27
813089	22	293.0	62.2	63.7	1.775	45.8	30
